Center,Status,Case Number,Application SN,Title,Patent Expiration Date
NASA Marshall Space Flight Center,Issued,MFS-31727-1,"10/231,428",Impact And Fire Resistant Coating For Pressure Vessels,11 July 2022
NASA Marshall Space Flight Center,Issued,MFS-31761-1,"10/232,974",Electro-Mechanically Actuated Propellant Valve,01/29/2023
NASA Marshall Space Flight Center,Issued,MFS-31768-1,"10/214,482",Magnetic Symbology Reader,08 May 2022
NASA Marshall Space Flight Center,Issued,MFS-31776-1,"11/780,610",Foam-Rigidized Inflatable Tubular Space Booms,07/20/2027
NASA Marshall Space Flight Center,Issued,MFS-31785-1,"10/646,000",Integrated Rangefinding Measurement In Video Guidance Sensor,08/21/2023
NASA Marshall Space Flight Center,Issued,MFS-31789-1,"10/975,121",MEMS- Micro-Translation Stage With Indefinite Linear Travel Capability,11 January 2025
NASA Marshall Space Flight Center,Issued,MFS-31807-1,"10/637,085",Global Radius Of Curvature Estimation And Control System For Segmented Mirrors (GRoCECS),01 July 2025
NASA Marshall Space Flight Center,Issued,MFS-31813-1,"11/527,653",Joining Metallic To Composite Components,07/29/2029
NASA Marshall Space Flight Center,Issued,MFS-31815-1,"10/738,352",Distributed Solid State Programmable Thermostat / Power Controller,01/29/2026
NASA Marshall Space Flight Center,Issued,MFS-31817-1,"11/14,455",Short-Range / Long-Range Integrated Target (SLIT) For Video Guidance Sensor Rendezvous And Docking,06 July 2027
NASA Marshall Space Flight Center,Issued,MFS-31823-1-DIV,"10/943,827",Radio-Frequency Driven Dielectric Heaters For Non-Nuclear Testing In Nuclear Core Development,11/27/2024
NASA Marshall Space Flight Center,Issued,MFS-31828-1,"10/120,226",High Strength Aluminum Alloy For High Temperature Applications,04 December 2023
NASA Marshall Space Flight Center,Issued,MFS-31838-1,"10/857,379",Improved Pressure Vessel Impact Resistance Utilizing Filament Wound Hybrid Fibers,10/15/2025
NASA Marshall Space Flight Center,Issued,MFS-31842-1,"11/215,749","Gas Volume Contents Within A Container, Smart Volume Instrument",11/26/2025
NASA Marshall Space Flight Center,Issued,MFS-31843-1,"10/631,220",Fiber-Coupled Laser Diodes With Even Illumination Pattern,07/30/2023
NASA Marshall Space Flight Center,Issued,MFS-31852-1,"10/857,372",Achromatic Shearing Phase Sensor For Phase Alignment Of A Segmented Telescope,01/21/2025
NASA Marshall Space Flight Center,Issued,MFS-31865-1,"10/615,369",Advanced Video Guidance Sensor Software,07/21/2023
NASA Marshall Space Flight Center,Issued,MFS-31886-1,"10/321,873",Digital Equivalent System (DEDS) For X-Ray Flourescent Spectral Output,01 August 2023
NASA Marshall Space Flight Center,Issued,MFS-31891-1,"11/108,140",Video Sensor With Range Measurement Capability,11 June 2025
NASA Marshall Space Flight Center,Issued,MFS-31918-1,"10/928,876",Optimal Design Geometry For All Friction Stir Weld Tools,01/15/2025
NASA Marshall Space Flight Center,Issued,MFS-31944-1,"10/730,191",Variable Distance Angular Symbology Reader,11/26/2023
NASA Marshall Space Flight Center,Issued,MFS-32024-1,"10/857,380",Liquefied Natural Gas Fuel Tank,07/13/2021
NASA Marshall Space Flight Center,Issued,MFS-32031-1,"11/543,284",Fiber Optic Liquid Mass Flow Sensor - Improved Prototype Design,09/29/2026
NASA Marshall Space Flight Center,Issued,MFS-32099-1-CON,"13/544,066",Composite Pressure Vessel Including Crack Arresting Barrier,10/23/2029
NASA Marshall Space Flight Center,Issued,MFS-32102-1,"11/172,665",Heated Pressure Balls Monopropellant Thermal Rocket Engine Cycle,12 December 2026
NASA Marshall Space Flight Center,Issued,MFS-32105-1-DIV,"11/700,972",Ultrasonic Stir Welding Process And Apparatus,01/29/2027
NASA Marshall Space Flight Center,Issued,MFS-32115-1,"11/543,287",Gimbling Shoulder For Friction Stir Welding,06/18/2027
NASA Marshall Space Flight Center,Issued,MFS-32136-1,"11/174,210",Video Image Stabilization And Registration - Plus (VISAR+),12 March 2027
NASA Marshall Space Flight Center,Issued,MFS-32137-1,"11/376,632",Multi-loop High Voltage Power Supply with Fast Rise/Fall Time,03 October 2026
NASA Marshall Space Flight Center,Issued,MFS-32175-1,"11/152,810","An Extended Lee-Kesler Equation-of-State (ELK-EoS) For The Volumetric And Thermodynamic Properties Of Propellant Fluids, Including The Non-Polar Quantum And Polar Fluids",06/13/2025
NASA Marshall Space Flight Center,Issued,MFS-32192-1,"11/357,454",Absolute Limit Sensor (ALS),02/16/2026
NASA Marshall Space Flight Center,Issued,MFS-32208-1,"11/296,719",Analog Nonvolatile Computer Memory,12/14/2025
NASA Marshall Space Flight Center,Issued,MFS-32214-1,"11/172,666",Dual Expander Cycle Rocket Engine Cycle with an Intermediate Brayton Cycle Heat Exchanger,12/19/2026
NASA Marshall Space Flight Center,Issued,MFS-32228-1,"12/241,322",Short Range Antenna  / Close Proximity Transmitter and Receiver,08/17/2031
NASA Marshall Space Flight Center,Issued,MFS-32253-1,"11/518,733",Magnetorestrictive Valves,10/17/2026
NASA Marshall Space Flight Center,Issued,MFS-32307-1,"11/527,658",Portable Runway Intersection Display And Monitoring System,01/13/2030
NASA Marshall Space Flight Center,Issued,MFS-32311-1,"12/47,686",Identification And Authentication System Using Integrated Optical And X-ray Fluorescene Spectral Methods,03/13/2028
NASA Marshall Space Flight Center,Issued,MFS-32318-1,"12/173,318",SCAPS(Single Coil Absolute Position Sensor) GAPSYN (Inductive Gap Sensor) Digital Signal Conditioning Electronics,09/29/2030
NASA Marshall Space Flight Center,Issued,MFS-32323-1,"12/563,819",Sub-Pixel Spatial Resolution Interferometry With Interlaced Stitching,10/15/2030
NASA Marshall Space Flight Center,Issued,MFS-32324-1,"11/942,322",Orbital Foamed Metal Extruder,06 September 2028
NASA Marshall Space Flight Center,Issued,MFS-32341-1,"12/210,843",High Load Fully Retained Dynamic Cryogenic Seal,01 September 2032
NASA Marshall Space Flight Center,Issued,MFS-32364-1,"11/513,433","Plasmoid Thruster for Electrode-less, High Specific Impulse Propulsion",07/22/2029
NASA Marshall Space Flight Center,Issued,MFS-32390-1,"11/780,561",Hybrid composite cryogenic tank structure,10/14/2029
NASA Marshall Space Flight Center,Issued,MFS-32400-1,"11/780,626",Gas Generator Augmented Expander Cycle Rocket Engine,01 April 2030
NASA Marshall Space Flight Center,Issued,MFS-32402-1,"12/39,506","Inexpensive, Rate Insensitive, Linear, Load Compensating System for Hybrid Stepper Motors",01/25/2029
NASA Marshall Space Flight Center,Issued,MFS-32429-1,"12/123,170",Orbital Batch Process Foamed Aluminum Facility,07 November 2028
NASA Marshall Space Flight Center,Issued,MFS-32438-1,"11/828,563",16-Kilowatt (KW) 2-30MHz Solid State Power Amplifier using innovative combining methods,11 March 2028
NASA Marshall Space Flight Center,Issued,MFS-32439-1,"11/828,590",H2O-NaCl based radio frequency power load,04 July 2029
NASA Marshall Space Flight Center,Issued,MFS-32497-1,"12/047,805",Reprocessing Non-Oxide Optical Fiber Preforms Utilizing an Axial Magnetic Field,05/26/2029
NASA Marshall Space Flight Center,Application,MFS-32518-1-CIP,"13/452,303",Liquid Propellant Injection Elements with Self-Adjusted Inlet Area for Rocket and Other Combustor-Type Engines Applications,10 March 2028
NASA Marshall Space Flight Center,Issued,MFS-32521-1,"12/44,740",Dispersive Filter For Enhancement Of Laser Gyroscopes,06 October 2029
NASA Marshall Space Flight Center,Issued,MFS-32548-1,"11/862,793",Optical Hotspot Conductive Fluid Flow Sensor,09/27/2027
NASA Marshall Space Flight Center,Issued,MFS-32558-1,"12/569,555",True Shear Parallel Plate Viscometer,12 April 2031
NASA Marshall Space Flight Center,Issued,MFS-32584-1,"12/336,260",Local Leak Detection and Health Monitoring of Pressurized Tanks in a Space Environment,11/17/2029
NASA Marshall Space Flight Center,Issued,MFS-32588-1,"11/957,051",ELECTROCHEMICALLY-ENHANCED MECHANICAL POLISHING OF OPTICS,09 June 2030
NASA Marshall Space Flight Center,Issued,MFS-32605-1,"12/240,626",Grazing Incidence Optics for Neutron Analysis and Imaging,12 July 2030
NASA Marshall Space Flight Center,Application,MFS-32605-1-CIP,"12/717,450",Novel Grazing Incidence Neutron Optics,09/29/2028
NASA Marshall Space Flight Center,Issued,MFS-32605-1-DIV,"13/534,951",Novel Grazing Incidence Neutron Optics,09/29/2028
NASA Marshall Space Flight Center,Application,MFS-32612-1-CIP,"13/796,693",Protective Safety Cover for Pool and Spa Drains,03/24/2029
NASA Marshall Space Flight Center,Issued,MFS-32614-1,"12/826,887",Magnetostrictive Regulator,04 March 2031
NASA Marshall Space Flight Center,Issued,MFS-32615-1,"12/567,451",Avionics/Electronics Box Rail Mount System,11/27/2030
NASA Marshall Space Flight Center,Issued,MFS-32638-1,"12/827,515",Magnetostrictive Force-to-Angle Sensor,03 December 2031
NASA Marshall Space Flight Center,Application,MFS-32642-1,"12/827,598",Cryogenic and Non-Cryogenic Optical Liquid Level Instrument for Stratified Conditions,04 May 2031
NASA Marshall Space Flight Center,Issued,MFS-32651-1,"12/403,096",A Planar Translation Device for Solar Sail Spacecraft Attitude Control and Maneuvering,07 March 2030
NASA Marshall Space Flight Center,Application,MFS-32655-1,"12/862,510","AEROSPACE LASER IGNITION/ABLATION VARIABLE, HIGH PRECISION THRUSTER",
NASA Marshall Space Flight Center,Issued,MFS-32667-1,"12/839,848",Extraction of Water from the Soil of Space Bodies Using Microwave processes,04/22/2031
NASA Marshall Space Flight Center,Issued,MFS-32697-1,"12/634,502",Multi Layered or Mixed Element Aqueous Ionic Fluids As Fuel or Lubrication Friction Modifiers,08/26/2030
NASA Marshall Space Flight Center,Issued,MFS-32697-1-CIP,"13/525,623",Multi Layered or Mixed Element Aqueous Ionic Fluids As Fuel or Lubrication Friction Modifiers,12 September 2029
NASA Marshall Space Flight Center,Issued,MFS-32715-1,12/758169,Improvement of Crystalline Quality during Melt Growth of Semiconductors by Mechanically Induced Nucleation,07/18/2032
NASA Marshall Space Flight Center,Issued,MFS-32719-1,13/150832,Field-Deployable Spectral Estimator of Trichloroacetic Acid (TCAA) in Plants,05/18/2032
NASA Marshall Space Flight Center,Issued,MFS-32733-1,"12/392,867",Unbalanced Flow Distribution Mixer with Flow Metering Capability,02/25/2029
NASA Marshall Space Flight Center,Issued,MFS-32737-1,"12/870,468",Hermetic Seal Leak Detection Apparatus,06 June 2031
NASA Marshall Space Flight Center,Application,MFS-32737-1-CIP,13/874182,Hermetic Seal Leak Detection Apparatus,08/27/2030
NASA Marshall Space Flight Center,Issued,MFS-32748-1,"12/397,973",Optimized Length-to-Diameter Ratio Flow Meter,08/16/2030
NASA Marshall Space Flight Center,Application,MFS-32757-1,13/118086,Compliant Mechanical Motor,
NASA Marshall Space Flight Center,Application,MFS-32761-1-CIP,"13/673,309","Multi-Channel Flow Plug with Eddy Current Minimization for Metering, Mixing, and Conditioning",07/23/2029
NASA Marshall Space Flight Center,Application,MFS-32761-1-CON,"13/729,861","Multi-Channel Flow Plug with Eddy Current Minimization for Meeting, Mixing, and Conditioning",07/23/2029
NASA Marshall Space Flight Center,Issued,MFS-32777-1,13/020144,Electrodeposited Nickel-Cobalt Alloy Development,05/31/2031
NASA Marshall Space Flight Center,Issued,MFS-32797-1,"12/837,173",A compact sensor for in-situ measurements of gas leaks,08/24/2031
NASA Marshall Space Flight Center,Issued,MFS-32803-1,"12/560,371","Method of Manufacturing Light Emmitting, Photovoltaic or other Electronic Apparatus",05/31/2027
NASA Marshall Space Flight Center,Application,MFS-32809-1,"13/369,704",Telemetry encoder/decoder,
NASA Marshall Space Flight Center,Issued,MFS-32817-1,"13/281,025",Variable Power Handheld Laser Torch for Joining Processes,10/25/2031
NASA Marshall Space Flight Center,Issued,MFS-32826-1,"12/846,429","Drain System for Pools, Spas, and Tanks. (Reference MFS 32612-1)",03/23/2031
NASA Marshall Space Flight Center,Application,MFS-33054-1,"14/020,326",Multi-spacecraft Autonomous Positioning System / Network-Based Navigation,09 June 2033
NASA Marshall Space Flight Center,Issued,MFS-32830-1,13/027472,FRICTION MANAGEMENT USING SOLVENT PARTITIONING OF SINGLE ELEMENT AND MULTI-ELEMENT HYDROPHILIC SURFACE-INTERACTIVE CHEMICALS CONTAINED IN HYDROPHILIC TARGETED EMULSIONS,02/15/2031
NASA Marshall Space Flight Center,Application,MFS-32830-1-CIP,"13/900,452",Friction and Wear Management Using Solvent Partioning of Hydrophilic Surface-Interactive Chemicals contains in Boundary Layer-Targeted Emulsions,03 July 2033
NASA Marshall Space Flight Center,Issued,MFS-32840-1,"12/842,218",Non-collinear Valve Actuator,04 February 2031
NASA Marshall Space Flight Center,Application,MFS-32841-1,"13/424,754",DUPLICATE of Telemetry encoder/decoder,
NASA Marshall Space Flight Center,Application,MFS-32853-1,"14/196,203",Particle Damping for Vibration Mitigation of Circuit Cards,03 April 2034
NASA Marshall Space Flight Center,Issued,MFS-32857-1,"13/326,513",Rocket Vent Design with Variable Flow Control and Rain Protection,01/21/2032
NASA Marshall Space Flight Center,Issued,MFS-32859-1,"13/240,075",Variably Pulsed High Power Ultrasonic (HPU) Energy for Ultrasonic Stir Welding (USW),11 July 2031
NASA Marshall Space Flight Center,Issued,MFS-32859-1-DIV,"13/523,310",Pulsed Ultrasonic Stir Welding Method,09/22/2031
NASA Marshall Space Flight Center,Application,MFS-32865-1,"13/302,734","Easily Installed, In-situ Adaptable Flow Measurement Device and Method.",
NASA Marshall Space Flight Center,Issued,MFS-32865-2,"13/302,773","Easily Installed, In-situ Adaptable Flow Measurement Device and Method.",06 April 2032
NASA Marshall Space Flight Center,Application,MFS-32865-3,"13/302,817","Easily Installed, In-situ Adaptable Flow Measurement Device and Method.",
NASA Marshall Space Flight Center,Application,MFS-32865-4,"13/302,845","Easily Installed, In-situ Adaptable Flow Measurement Device and Method.",08/23/2032
NASA Marshall Space Flight Center,Issued,MFS-32871-1,"13/424,898",Low Cost Telemetry System for Small/micro satellites,06/13/2032
NASA Marshall Space Flight Center,Application,MFS-32873-1,13/523210,"High-current, high-voltage switch using non-hazardous liquid metals",11/29/2032
NASA Marshall Space Flight Center,Application,MFS-32889-1,"13/174,084",Pyrotechnic Pipe Plug and Variable Area Flow Meter,
NASA Marshall Space Flight Center,Application,MFS-32895-1,"13/242,734",High Powered Ultrasonically Assisted Thermal Stir Welding,
NASA Marshall Space Flight Center,Application,MFS-32912-1,"13/299,930",Salt Water Power Load - Part II,
NASA Marshall Space Flight Center,Application,MFS-32916-1,13/333283,Improved Impact Toughness and Heat Treatment for Cast Aluminum Wheels,
NASA Marshall Space Flight Center,Application,MFS-32924-1,"13/312,481",Partial Automated Alignment & Integration System,07 September 2032
NASA Marshall Space Flight Center,Application,MFS-32934-1,"12/833,894","Methods, Devices, and Systems Relating to a Sensing Device",
NASA Marshall Space Flight Center,Issued,MFS-32940-1,"13/430,268",Closed Loop Temperature Control for the Thermal Stir Welding Process,03/26/2032
NASA Marshall Space Flight Center,Application,MFS-32944-1,"13/896,137",Mitigation of Sonic Boom from Supersonic Vehicles by means of Long Penetration Mode (LPM) Counter-Flowing Cold Gas Jets,05/16/2033
NASA Marshall Space Flight Center,Application,MFS-32945-1,"14/082,956",Piezoelectric Gravity Gradient and Multiple Purpose Sensor Detection System,11/18/2033
NASA Marshall Space Flight Center,Application,MFS-32986-1,"13/961,573",Non-Explosively-Actuated Pressurization Start Valve,08 July 2033
NASA Marshall Space Flight Center,Application,MFS-33007-1,"14/192,350",Carbon Nanotube Tape Vibrating Gyroscope Update,02/27/2034
NASA Marshall Space Flight Center,Application,MFS-33022-1,"14/192,395",A Design Technology to Eliminate Dribble Volume in Rocket Engine Manifolds for Swirl-Coaxial Injectors,02/27/2034
NASA Marshall Space Flight Center,Application,MFS-33031-1,"13/949,361",An aerodynamic design concept for rocket nozzle side load reduction,07/24/2033
NASA Marshall Space Flight Center,Application,MFS-33060-1,"14/104,881",Carbon Nanotube Tape Single Axis Accelerometer,12 December 2033
NASA Johnson Space Center,Issued,MSC-21715-2,"08/390,904",Quantitative Method Of Measuring Cancer Cell Urokinase And Metastatic Potential,02 September 2016
NASA Johnson Space Center,Issued,MSC-21947-1,"10/828,531",MOLECULAR SPECIFIC ANTIBODIES AGAINST UROKINASE,08/28/2025
NASA Johnson Space Center,Issued,MSC-22119-1,"08/172,962",A PROCESS FOR DEVELOPING HIGH-FIDELITY THREE-DIMENSIONAL TUMOR MODELS OF HUMAN PROSTATE CARCINOMA,12/22/2015
NASA Johnson Space Center,Issued,MSC-22122-1,"08/366,065",HORIZONTAL ROTATING-WALL VESSEL PROPAGATION IN IN VITRO HUMAN TISSUE MODELS,09 December 2017
NASA Johnson Space Center,Issued,MSC-22489-1,"08/349,169","Multi-Lamellar, Immiscible-Phase Microencapsulation of Drugs",10/27/2015
NASA Johnson Space Center,Issued,MSC-22616-2,"09/7,239",Preservation Of Liquid Biological Samples,12 December 2015
NASA Johnson Space Center,Issued,MSC-22616-3,"09/630,979",Preservation Of Liquid Biological Samples,01/14/2018
NASA Johnson Space Center,Issued,MSC-22633-1,"09/587,028",Electrically Potentiated Growth Of Mammalian Neuronal Tissue Facilitated By Rotating Wall Vessel Culture,06 February 2020
NASA Johnson Space Center,Issued,MSC-22633-2,"09/798,854",Growth Stimulation Of Biological Cells And Tissue By Electromagnetic Fields And Uses Thereof,02/28/2021
NASA Johnson Space Center,Issued,MSC-22695-1,"09/213,988",A Unique Urine Preservative With Combined Antibacterial And Antioxidant Properties,12/17/2018
NASA Johnson Space Center,Issued,MSC-22721-2,"09/354,915",Blood Pump Bearing System,07 September 2019
NASA Johnson Space Center,Issued,MSC-22724-1,"09/129,832",Millimeter Wave/Microwave Ablation For Treatment Of Atherosclerotic Lesions,08 May 2018
NASA Johnson Space Center,Issued,MSC-22724-2,"09/501,150",Endothelium Preserving Microwave Treatment For Atherosclerosis,02 September 2020
NASA Johnson Space Center,Issued,MSC-22724-3,"09/504,768",Endothelium Preserving Microwave Treatment For Atherosclerosis,02 September 2020
NASA Johnson Space Center,Issued,MSC-22724-5,"09/500,538",Endothelium Preserving Microwave Treatment For Atherosclerosis,02 September 2020
NASA Johnson Space Center,Issued,MSC-22757-1,"08/917,581",Automated Propellant Blending Machine,08/20/2017
NASA Johnson Space Center,Issued,MSC-22797-1,"08/786,842",A Method Of Applying External Power To Assist In The Operation Of Joints In Pressure Suits And Inflatable Structures2283,12/19/2016
NASA Johnson Space Center,Issued,MSC-22839-1,"09/826,402",Locating Concealed Objects Using Spectral Signatures,04 February 2021
NASA Johnson Space Center,Issued,MSC-22859-1,"09/56,363","Production Of 1-25diOH Vitamin D3, Erythropoietin And Other Products By Epithelial And Interstitial Cells In Response To Shear Stress",04 August 2017
NASA Johnson Space Center,Issued,MSC-22859-2,"09/532,001",Production Of Functional Proteins:  Balance Of Shear Stress And Gravity,03/21/2020
NASA Johnson Space Center,Issued,MSC-22859-3,"10/734,759",Production Of Functional Proteins: Balance Of Shear Stress And Gravity,12/22/2023
NASA Johnson Space Center,Issued,MSC-22859-5,"12/174,221",Production of Functional Proteins: Balance of Shear Stress and Gravity,02 November 2029
NASA Johnson Space Center,Issued,MSC-22863-1,"10/263,280",Centrifugal Adsorption Cartridge System (CACS),12/21/2022
NASA Johnson Space Center,Issued,MSC-22866-1,"09/79,741",INSITU Activation Of Microcapsules,05/15/2018
NASA Johnson Space Center,Issued,MSC-22900-1,"09/236,785",Advanced Structural/Inflatable Hybrid Spacecraft Habitation Module,01/25/2019
NASA Johnson Space Center,Issued,MSC-23563-2,"11/848,332",Nanoencapsulated Aerogels Produced By Monomer Vapor Deposition And Polymerization,08/13/2028
NASA Johnson Space Center,Issued,MSC-22931-1,"09/405,301","Electro-Mechanically Actuated Magnetic Ring With Load Sensing Feedback And Closed Loop Control Docking/Berthing System For Alignment And Mating Of Multiple Vehicles, Structures, And/or Assemblies",09/20/2019
NASA Johnson Space Center,Issued,MSC-22936-1,"09/79,766",Protein Crystal Encapsulation Process,05/15/2018
NASA Johnson Space Center,Issued,MSC-22936-2,"09/733,391",Microencapsulated Bioactive Agents And Method Of Making,12 June 2020
NASA Johnson Space Center,Issued,MSC-22936-3,"09/774,168",Method For Determining The Three-Dimensional Structure Of A Protein,01/26/2021
NASA Johnson Space Center,Issued,MSC-22936-4,"09/774,169",X-Ray Crystallography Reagent,01/24/2021
NASA Johnson Space Center,Issued,MSC-22937-1,"09/79,833",Microencapsulation And Electrostatic Processing Device (MEPS),05/15/2018
NASA Johnson Space Center,Issued,MSC-22938-1,"09/79,770",Low-Shear Microencapsulation & Electrostatic Coating Process,05/15/2018
NASA Johnson Space Center,Issued,MSC-22939-4,"12/100,009",Externally Triggered Microcapsules,07 September 2029
NASA Johnson Space Center,Issued,MSC-22970-1,"09/337,208",Solar-Powered Refrigeration System,06 March 2019
NASA Johnson Space Center,Issued,MSC-22970-2,"09/838,679",Solar Powered Refrigeration System,06 March 2019
NASA Johnson Space Center,Issued,MSC-22970-3,"09/838,680",Solar Powered Refrigeration System,06 March 2019
NASA Johnson Space Center,Issued,MSC-23029-1,"09/793,817",Medium Frequency Pseudo Noise Geological Radar,07/20/2021
NASA Johnson Space Center,Issued,MSC-23037-1,"09/988,855",Variable Shadow Screen For Optical Devices,11/14/2021
NASA Johnson Space Center,Issued,MSC-23041-1,"09/351,152",Variable Specific Impulse Magnetoplasma Rocket (VASIMR),06/28/2019
NASA Johnson Space Center,Issued,MSC-23049-3,"09/746,542",Method For Selective Thermal Ablation,06/28/2021
NASA Johnson Space Center,Issued,MSC-23049-4,"09/746,533",Computer Program For Microwave Antenna,05 July 2021
NASA Johnson Space Center,Issued,MSC-23076-1,"09/574,758","Collapsable, Light, Portable Human Hyperbaric Chamber/Airlock System",05/17/2020
NASA Johnson Space Center,Issued,MSC-23092-1,"09/826,403","Advanced, Large Volume, Highly Loaded, Hybrid Inflatable Pressure Vessel",05/26/2021
NASA Johnson Space Center,Issued,MSC-23153-1,"09/803,613",Coplanar Waveguide Ice Detection Sensor,11 April 2023
NASA Johnson Space Center,Issued,MSC-23154-1,"09/906,013","A Real-Time, High Frequency QRS Electrocardiograph.",05 March 2023
NASA Johnson Space Center,Issued,MSC-23154-2,"11/345,687","A Real-Time, High Frequency QRS Electrocardiograph",07/13/2027
NASA Johnson Space Center,Issued,MSC-23178-1,"10/5,820",Deceleration Limiting Safety Crash Wall,05/19/2022
NASA Johnson Space Center,Issued,MSC-23193-1,"09/994,989",Passive Noncoherent Tracking Of A Data-Modulated Signal,11/14/2021
NASA Johnson Space Center,Issued,MSC-23277-1,"10/734,753",Microcapsule Flow Sensor,11 December 2024
NASA Johnson Space Center,Issued,MSC-23303-1,"10/446,283",Downlink Data Multiplexer,01/16/2026
NASA Johnson Space Center,Issued,MSC-23307-1,"10/28,962",Detection Of Subterranean Metal Objects Using Differential Spectral Processing,11/17/2020
NASA Johnson Space Center,Issued,MSC-23309-1,"10/87,866",Oxygen Partial Pressure Monitoring Device For Aircraft Oxygen Masks.,04/27/2022
NASA Johnson Space Center,Issued,MSC-23311-1,"09/953,612",Mass Measurement During Fluid Flow Using An Integrated Sonic/Microwave Detector.,09/14/2021
NASA Johnson Space Center,Issued,MSC-23314-1,"09/892,355",Flexshield (Flexible Multi-Shock Shield Technology),06/26/2021
NASA Johnson Space Center,Issued,MSC-23349-1,"10/283,354",MCC Voice Over Internet Protocol (VOIP),08 August 2026
NASA Johnson Space Center,Application,MSC-23349-2-SB,"12/170,614",Ad Hoc Selection of Voice Over Internet Streams,
NASA Johnson Space Center,Issued,MSC-23424-1,"10/212,579",Global Distribution Of Large Fluvial Fans/Potential Hydrocarbon Exploration Guide,06 December 2024
NASA Johnson Space Center,Issued,MSC-23427-1,"10/302,323",Microwave Ablation Of Prostatic Cells Using A Separated Antenna Array,07/23/2023
NASA Johnson Space Center,Issued,MSC-23436-1,"10/679,688",Tri-Sector Deployable Array Antenna,08 November 2024
NASA Johnson Space Center,Issued,MSC-23443-1,"10/263,293",Method And Apparatus For Deploying A Hypervelocity Shield,09/30/2022
NASA Johnson Space Center,Issued,MSC-23444-1,"10/361,046",A Simple Countermeasure For Management Of Motion Sickness And Vestibular/Sensory-Motor Problems Associated With Space Flight And Terrestial Motion Sickness,07 January 2023
NASA Johnson Space Center,Issued,MSC-23449-1,"10/402,866",Method For Diagnosis Of Coronary Artery Disease And Related Conditions Using 12-Lead High Frequency QRS Electrocardiography,12/30/2025
NASA Johnson Space Center,Issued,MSC-23510-1,"10/417,377",Portable Catapult Launcher For Small Aircraft,04 March 2023
NASA Johnson Space Center,Issued,MSC-23518-1,"10/637,086",Low Voltage Electron Beam Solid Freeform Fabrication System,09/29/2024
NASA Johnson Space Center,Issued,MSC-23538-1,"10/443,233",Practical Active Capacitor Filter,05/21/2023
NASA Johnson Space Center,Issued,MSC-23539-1,"10/443,234","Auto-Routable, Configurable, Daisy Chainable Data Acquisition System",08/16/2023
NASA Johnson Space Center,Issued,MSC-23563-1,"10/985,081",Nano-Encapsulated Aerogel,05/14/2025
NASA Johnson Space Center,Issued,MSC-23594-1,"10/845,608",Articulating Subject Support For Resistive Exercise In The Horizontal Position,02/22/2025
NASA Johnson Space Center,Issued,MSC-23623-1,"11/370,379",String Resistance Detector Concept,03 June 2026
NASA Johnson Space Center,Issued,MSC-23659-1,"10/734,754",Pulse-Flow Microencapsulation System,06 September 2024
NASA Johnson Space Center,Issued,MSC-23659-2,"11/428,465",Microencapsulation System And Method,03/14/2027
NASA Johnson Space Center,Issued,MSC-23668-1,"10/874,004",Water Outlet Control Mechanism For Fuel Cell System Operation In Variable Gravity Environments,11 April 2025
NASA Johnson Space Center,Issued,MSC-23695-1,"11/177,652",Torquing Tool Attachment For Round Connectors With Attached Cables,08/27/2025
NASA Johnson Space Center,Issued,MSC-23781-1,"11/40,613",Directional Microwave Applicator/Antenna,10/16/2026
NASA Johnson Space Center,Issued,MSC-23805-1,"11/31,942",Advanced Resistive Exercise Device (ARED),01 October 2027
NASA Johnson Space Center,Issued,MSC-23881-1,"11/958,908","Low Friction, Low Profile, High Moment Two-Axis Joint",12/18/2027
NASA Johnson Space Center,Application,MSC-23882-1,12/899654,Analog Strain Gage Conditioning System for Space Environment,
NASA Johnson Space Center,Issued,MSC-23906-1,"11/158,354",Method for the Design and Analysis of the Primary Load Bearing Layer of an Inflatable Vessel,07/20/2026
NASA Johnson Space Center,Issued,MSC-23933-1,"11/625,066","Low Impact Docking System (LIDS) A.k.a, International Berthing Docking Mechanism (IBDM)",02/22/2028
NASA Johnson Space Center,Issued,MSC-23954-1,"11/357,461",Self-Advancing Step-Tap Drill,08/14/2026
NASA Johnson Space Center,Issued,MSC-23988-1,"12/58,227",Micro-Organ Device,10/31/2031
NASA Johnson Space Center,Issued,MSC-23988-2,13/688982,Micro-Organ Device,11/29/2032
NASA Johnson Space Center,Issued,MSC-23997-2,"12/388,345",Magnetic Capture Docking Mechanism,04 January 2025
NASA Johnson Space Center,Issued,MSC-24000-1,/0,Development And Characterization Of A Three-Dimensional Tissue Culture Model Of Bone,10/31/2021
NASA Johnson Space Center,Issued,MSC-24042-1,"11/421,174",New Architecture for Space Radiation Detection,02 January 2027
NASA Johnson Space Center,Issued,MSC-24106-1,"11/683,770",Network System Plug And Play Through Positional And Functional Connectivity Identification,04/21/2028
NASA Johnson Space Center,Issued,MSC-24115-1,"11/772,999",Method and Apparatus for Fabric Circuits and Antennas,06/19/2030
NASA Johnson Space Center,Issued,MSC-24149-1,"12/402,986","A Description Of An Improved Method For Folding, Assembling, And Weight Relief Of An Inflatable Shell",02 April 2030
NASA Johnson Space Center,Issued,MSC-24149-2,13/346137,"A Description Of An Improved Method For Folding, Assembling, And Weight Relief Of An Inflatable Shell",03 December 2029
NASA Johnson Space Center,Issued,MSC-24164-1,"11/789,117",Methods For Growing Tissue-Like 3D Assemblies (TLA) Of Human Broncho-Epithelial Cells,05 April 2030
